y,x1,x2,x3,x4 = hrs of sleep,x5=early/night,x6=regular/irregular sleep
83,NAm,3,M,,,
63,NAm,1,F,,,
81,EU,4,M,,,
69,EU,4,M,,,
60,NA,5,F,,,
70,EU,3,F,,,
68,EU,3,F,,,
64,AF,3,F,,,
99,AS,2,F,,,
68,AS,3,M,,,
61,AS,4,M,,,
66,AS,3,M,,,
74,NAm,2,M,,,
62,AF,3,M,,,
96,NAm,2,M,,,
68,AS,1,M,,,
80,AS,3,M,,,
72,AS,2,M,,,
68,AS,1,M,,,
76,AS,2,M,,,
88,AS,1,M,,,
80,AS,1,M,,,
64,EU,3,M,,,
76,AF,3,M,,,
72,AS,2,M,,,
68,AS,3,M,,,
68,AF,3,M,,,
84,AF,3,M,,,
84,AF,4,M,7.5,0,reg
82,NAm,3,M,9,,irr
63,NAm,2,F,8,,reg
68,SA,2,M,7,0,irr
82,AS,2,M,7,,irr
72,AS,3,M,7,1,irr
73,AS,1,M,7,0,reg
89,SA,4,F,6,0,irr
84,AS,3,M,8,,reg
74,AS,2,M,8,,irr
82,AS,2,M,8,1,irr
72,SA,4,M,6,1,irr
105,NAm,2,M,6,1,irr
82,AS,1,M,7,1,irr
67,AS,3,M,8,0,reg
83,AS,1,M,8,1,reg
82,AS,2,M,7,1,reg
80,AS,4,M,5,1,reg
92,AS,3,M,6,1,irr
89,AS,4,M,7,,irr
89,AS,4,M,8,0,reg
82,AS,4,M,6,0,reg